# Generated by tools/ghidra/build_corpus_manifest.py — DO NOT HAND-EDIT.
# Grain: one row per (sweep TAG, Ghidra program). TAG is the join key to sweep.sh.
# Verify coverage with: py tools/ghidra/preflight.py   (drift = exit 2/3)
TAG	ROLE	PROJECT	REP	PROGRAM	SELECTED	ACQUISITION	STEAM_APPID	STEAM_INSTALLDIR	STEAM_LIB_TODAY	STEAM_GB	BINARY_STATE	PATH_TODAY	GHIDRA_PATH	RECORDED_MD5	PDB	REP_GB	NOTE
UE4.10-Game	ORACLE	UE410_Game_Shipping	YES	UE4Game-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\4.10\Shipping\UE4Game-Win64-Shipping.exe	<CORPUS>\Varies Version builds\4.10\Shipping\UE4Game-Win64-Shipping.exe	b1bed34e908406426fe10691db6b5635	YES	0.11	-
UE4.10-GameDev	ORACLE	UE410_Game_Development	YES	UE4Game.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\4.10\Development\UE4Game.exe	<CORPUS>\Varies Version builds\4.10\Development\UE4Game.exe	dcd73f1c12d1a7de12f0e9060278ffe1	YES	0.25	-
UE4.15-Flying	ORACLE	UE415_Flyinh-Win64-Shipping	YES	UE415_Flyinh-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	<CORPUS>\Varies Version builds\4.15.3\Shipping\WindowsNoEditor\UE415_Flyinh\Binaries\Win64\UE415_Flyinh-Win64-Shipping.exe	2f94653fdbe932fba33e687eff58d516	YES	1.16	-
UE4.15-FlyingDev	ORACLE	UE415_Flyinh_Development	YES	UE415_Flyinh.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\4.15.3\Development\UE415_Flyinh.exe	<CORPUS>\Varies Version builds\4.15.3\Development\UE415_Flyinh.exe	cb8a4a2f8767ca12a1582e941fa572e3	YES	0.24	-
UE4.15-FlyingDbgGame	ORACLE	UE415_Flyinh_DebugGame	YES	UE415_Flyinh-Win64-DebugGame.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<CORPUS>\Varies Version builds\4.15.3\DebugGame\UE415_Flyinh-Win64-DebugGame.exe	<CORPUS>\Varies Version builds\4.15.3\DebugGame\UE415_Flyinh-Win64-DebugGame.exe	c3c4842132114e846d2b26988a6ca90a	YES	0.24	-
UE4.20-Everspace	ORACLE	ES1-420	YES	RSG-Win64-Shipping.exe	yes	STEAM	396750	EVERSPACE	<STEAMLIB>	10.4	MATCH	<STEAMLIB>\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\EVERSPACE\RSG\Binaries\Win64\RSG-Win64-Shipping.exe	d6e8511c9a6c18bae3377f6584ea5e74	YES	1.67	-
UE4.20-HeliumRain	ORACLE	HeliumRain	YES	HeliumRain-Win64-Shipping.exe	yes	STEAM	681330	HeliumRain	<STEAMLIB>	3.9	MATCH	<STEAMLIB>\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	<STEAMLIB>\steamapps\common\HeliumRain\HeliumRain\Binaries\Win64\HeliumRain-Win64-Shipping.exe	4dd8b021b63fc97f9bd513321a5354cf	YES	1.39	-
UE4.22-Satisfactory	ORACLE	Satisfactory_UE422	YES	FactoryGame-Win64-Shipping.exe	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	<ARCHIVE>\Satisfactory\UE4.2.2\FactoryGame\Binaries\Win64\FactoryGame-Win64-Shipping.exe	a1df9f191f8978e6c05d7919237be565	YES	2.58	-
UE4.23-Flying	ORACLE	UE423_Flying-Win64_Shipping	YES	UE423_Flying-Win64-Shipping.exe	yes	SELF-BUILT	-	-	-	-	MATCH	<UEPROJECTS>\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	<UEPROJECTS>\UE423_Flying\Binaries_Shipping\Win64\UE423_Flying-Win64-Shipping.exe	f61ec1be259922847178fe6a0a42817b	YES	1.34	-
UE4.23-FlyingDbgGame	ORACLE	UE423_Flying-Win64-DebugGame	YES	UE423_Flying-Win64-DebugGame.exe	yes	SELF-BUILT	-	-	-	-	GONE	-	<UEPROJECTS>\UE423_Flying\Binaries\Win64\UE423_Flying-Win64-DebugGame.exe	e63689ff80433145b9fec8baa4780259	UNKNOWN	3.08	-
UE4.24-DropIn	ORACLE	DropIn_UE424	YES	DropIn.exe	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	<ARCHIVE>\DropIn\UE4.24\DropIn\Binaries\Win64\DropIn.exe	2f640ff0d11784a430a1edb845743e1f	YES	3.76	-
UE4.25-Everspace2	ORACLE	ES2-UE425	YES	ES2-Win64-Shipping.exe	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	<ARCHIVE>\ES2\UE4.25.2\ES2\Binaries\Win64\ES2-Win64-Shipping.exe	0588eacdee27ea0bf105727789727fd8	YES	1.98	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-Core-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Core-Win64-Shipping.dll	1fd90d385eab7156f61ff4245e61bdaf	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-CoreUObject-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-CoreUObject-Win64-Shipping.dll	ba47b71affb0d1b94e8a6c37c8c96f80	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-Engine-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	<ARCHIVE>\Satisfactory\UE4.26.2\Engine\Binaries\Win64\FactoryGame-Engine-Win64-Shipping.dll	643132b60bf639d9daca780a4b117b79	YES	2.12	-
UE4.26-Satisfactory	ORACLE	Satisfactory_UE426	YES	FactoryGame-FactoryGame-Win64-Shipping.dll	yes	ARCHIVE	-	-	-	-	MATCH	<ARCHIVE>\Satisfactory\UE4.26.2\FactoryGame\Binaries\Win64\FactoryGame-FactoryGame-Win64-Shipping.dll	<ARCHIVE>\Satisfactory\UE4.26.2\FactoryGame\Binaries\Win64\FactoryGame-FactoryGame-Win64-Shipping.dll	0568e292e032ee765a828da3cee43d6b	YES	2.12	-
UE4.27-DropIn	ORACLE	DropIn	YES	DropIn.exe	yes	STEAM	1144800	Drop In - VR Battle Royale	<STEAMLIB>	3.8	MATCH	<STEAMLIB>\steamapps\common\Drop In - VR Battle Royale\DropIn\Binaries\Win64\DropIn.exe	<STEAMLIB>\steamapps\common\Drop In - VR Battle Royale\DropIn\Binaries\Win64\DropIn.exe	a3418669177c263dc6bc61c754612287	YES	5.21	-
