program	UE427_Flying-Win64-Shipping.exe
tag	UE4.27-FlyingShipping
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	82094964
meta.# of Data Type Categories	36358
meta.# of Data Types	227848
meta.# of Defined Data	1625082
meta.# of Functions	177559
meta.# of Instructions	13141511
meta.# of Memory Blocks	11
meta.# of Symbols	1980216
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Wed Jul 29 08:38:49 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	1be3260565f86311bb074966c9fcd3f9
meta.Executable SHA256	a6abb0eddf90920b658537f3080563e9fa3f57f8eece8eb016f665fc21b24f3c
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	UE427_Flying-Win64-Shipping.pdb
meta.PDB GUID	83f3f737-b248-4375-917e-913c13b03b93
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	UE4
meta.PE Property[InternalName]	UE427_Flying
meta.PE Property[LegalCopyright]	Fill out your copyright notice in the Description page of Project Settings.
meta.PE Property[OriginalFilename]	UE427_Flying-Win64-Shipping.exe
meta.PE Property[ProductName]	UE4
meta.PE Property[ProductVersion]	++UE4+Release-4.27-CL-18319896
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	UE427_Flying-Win64-Shipping.exe
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	177559
instructions	13141511
defined_data	1625082
datatypes	227848
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	2131054
symbols_global	1879977
symbols_sha256	1f5f02988a1cb23305e7d5040413e73c6c5a4edcc643cf68be1d9f2f677a05e9
symbols_source.ANALYSIS	360131
symbols_source.DEFAULT	1291592
symbols_source.IMPORTED	479331
