program	LightMaze-Win64-Shipping.exe
tag	UE5.0-LightMaze
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	86064704
meta.# of Data Type Categories	7
meta.# of Data Types	298
meta.# of Defined Data	1548697
meta.# of Functions	149441
meta.# of Instructions	13213342
meta.# of Memory Blocks	10
meta.# of Symbols	1095643
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Mon Jul 27 18:58:20 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	c7e81c5978209af2dc0660b61c5bdf03
meta.Executable SHA256	f1c968f5579fbd7f46895825be45f0cbb6bc5828a82f525cfdd73665a5150e17
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	LightMaze-Win64-Shipping.pdb
meta.PDB GUID	c3f7495f-6f41-4d92-b7fb-06e6550ebe76
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	catgrease
meta.PE Property[FileDescription]	Light Maze
meta.PE Property[InternalName]	LightMaze
meta.PE Property[LegalCopyright]	Copyright Epic Games, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	LightMaze-Win64-Shipping.exe
meta.PE Property[ProductName]	Light Maze
meta.PE Property[ProductVersion]	++UE5+Release-5.0-CL-20979098
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	LightMaze-Win64-Shipping.exe
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	149441
instructions	13213342
defined_data	1548697
datatypes	298
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	1546366
symbols_global	1486490
symbols_sha256	3ec2f363777610bc6f4ca1881da5c7f59a6fae4f9d15d1abb4f331ee84a3c6d0
symbols_source.ANALYSIS	57665
symbols_source.DEFAULT	1483623
symbols_source.IMPORTED	5078
