program	Palworld-Win64-Shipping.exe
tag	UE5.1-Palworld
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	167369716
meta.# of Data Type Categories	76
meta.# of Data Types	2610
meta.# of Defined Data	3594778
meta.# of Functions	322040
meta.# of Instructions	24532469
meta.# of Memory Blocks	11
meta.# of Symbols	2152446
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sun Jul 26 15:11:53 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	fb10d568f6a3ad2a74572ca46a73af20
meta.Executable SHA256	2ff94a03bc777661be100249b4940242f70661d890c6b8f8aca4d6dce79ee5a5
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	Palworld-Win64-Shipping.pdb
meta.PDB GUID	f982eba4-c6f4-4e62-813c-80a9e028bbe9
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	Pal
meta.PE Property[InternalName]	Pal
meta.PE Property[LegalCopyright]	Copyright Pocketpair, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	Palworld-Win64-Shipping.exe
meta.PE Property[ProductName]	Pal
meta.PE Property[ProductVersion]	++UE5+Release-5.1-CL-0
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	Palworld-Win64-Shipping.exe
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	322040
instructions	24532469
defined_data	3594778
datatypes	2610
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	3097378
symbols_global	3000541
symbols_sha256	20faf71bc0db216d8cb4a694f64602853fd52cdb09c7450ca712700229f5d9c9
symbols_source.ANALYSIS	76542
symbols_source.DEFAULT	2994271
symbols_source.IMPORTED	26565
