program	FactoryGame-Core-Win64-Shipping.dll
tag	UE5.2-Satisfactory
image_base	180000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	8789364
meta.# of Data Type Categories	36532
meta.# of Data Types	127447
meta.# of Defined Data	131381
meta.# of Functions	21129
meta.# of Instructions	1248118
meta.# of Memory Blocks	10
meta.# of Symbols	219837
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sun Jul 26 13:03:14 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	457f3e6505c19638fd04bf2d1d1963dd
meta.Executable SHA256	0476386c9667775bd747155d44bb62281c8d0508d0d5096a7b0d5249a06a1e83
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	180000000
meta.PDB Age	1
meta.PDB File	FactoryGame-Core-Win64-Shipping.pdb
meta.PDB GUID	ae0a9bf4-96f1-4543-9f96-2822ec391e2f
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	FactoryGame
meta.PE Property[InternalName]	UnrealEngine
meta.PE Property[LegalCopyright]	Copyright Epic Games, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	FactoryGame-Core-Win64-Shipping.dll
meta.PE Property[ProductName]	FactoryGame
meta.PE Property[ProductVersion]	++FactoryGame+rel-main-0.8.0-CL-264901
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	FactoryGame-Core-Win64-Shipping.dll
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	21129
instructions	1248118
defined_data	131381
datatypes	127447
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	239216
symbols_global	205493
symbols_sha256	d653b21c9db80af26ac75ebeaebecb9e44016a9b881b811b6a83fd977c7458b9
symbols_source.ANALYSIS	23072
symbols_source.DEFAULT	146002
symbols_source.IMPORTED	70142
