program	ThirdPerson54-Win64-DebugGame.exe
tag	UE5.4-ThirdPersonDbgGame
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	282942972
meta.# of Data Type Categories	72317
meta.# of Data Types	456319
meta.# of Defined Data	5082723
meta.# of Functions	787075
meta.# of Instructions	48857598
meta.# of Memory Blocks	12
meta.# of Symbols	7072044
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Wed Jul 29 20:56:50 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	91dc256878601f848e9898d9ea518ee4
meta.Executable SHA256	6bd58636a4f68c156ace946e2f9eab9e2bc5a38e851a29182c2f29092670200e
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	ThirdPerson54-Win64-DebugGame.pdb
meta.PDB GUID	70004ff2-ee05-449e-bc1a-8cc54841e9dc
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	Third Person Game Template
meta.PE Property[InternalName]	ThirdPerson54
meta.PE Property[LegalCopyright]	Fill out your copyright notice in the Description page of Project Settings.
meta.PE Property[OriginalFilename]	ThirdPerson54-Win64-DebugGame.exe
meta.PE Property[ProductName]	Third Person Game Template
meta.PE Property[ProductVersion]	5.4.4
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	ThirdPerson54-Win64-DebugGame.exe
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	787075
instructions	48857598
defined_data	5082723
datatypes	456319
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	7362026
symbols_global	6436777
symbols_sha256	7d2b9ca0d7bb22843a0039c861b603082a2b020d760d7fa988cc517f9686c4c8
symbols_source.ANALYSIS	1212576
symbols_source.DEFAULT	4960037
symbols_source.IMPORTED	1189413
