program	ThirdPerson54-Win64-Shipping.exe
tag	UE5.4-ThirdPerson
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	135489788
meta.# of Data Type Categories	58486
meta.# of Data Types	349027
meta.# of Defined Data	2603745
meta.# of Functions	285729
meta.# of Instructions	22281269
meta.# of Memory Blocks	11
meta.# of Symbols	3269726
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Wed Jul 29 20:53:43 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	b84965793b25ff204d012e490a41cdd5
meta.Executable SHA256	9a891b3f565a1c51bec21c0e8a6db908abda54c4e7688a21ff771a80d9568da6
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	ThirdPerson54-Win64-Shipping.pdb
meta.PDB GUID	cf75525d-328c-9289-e3ab-f5586d1716f0
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	Third Person Game Template
meta.PE Property[InternalName]	ThirdPerson54
meta.PE Property[LegalCopyright]	Fill out your copyright notice in the Description page of Project Settings.
meta.PE Property[OriginalFilename]	ThirdPerson54-Win64-Shipping.exe
meta.PE Property[ProductName]	Third Person Game Template
meta.PE Property[ProductVersion]	++UE5+Release-5.4-CL-35576357
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	ThirdPerson54-Win64-Shipping.exe
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	285729
instructions	22281269
defined_data	2603745
datatypes	349027
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	3425333
symbols_global	3017715
symbols_sha256	c7a358c17bbc1febf6cc9299ba7879527ce48ecb606b39c8b7740b057e7a75cc
symbols_source.ANALYSIS	563680
symbols_source.DEFAULT	2100768
symbols_source.IMPORTED	760885
