program	CrashReportClient.exe
tag	UE5.6-Satisfactory
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	29570304
meta.# of Data Type Categories	109438
meta.# of Data Types	531760
meta.# of Defined Data	367506
meta.# of Functions	51506
meta.# of Instructions	4563749
meta.# of Memory Blocks	10
meta.# of Symbols	699197
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sat Jul 25 20:58:54 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	04e9f6c649e66b244c525b3b3529f83f
meta.Executable SHA256	57be7edf089d46b6cdb705dc29bea2b17046c5a49c9c26a47e3d1783fd9c9a94
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	CrashReportClient.pdb
meta.PDB GUID	6cd7bead-d317-6000-7e68-0e91deaf5525
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	CrashReportClient
meta.PE Property[FileVersion]	UE5-CL-0
meta.PE Property[InternalName]	UnrealEngine
meta.PE Property[LegalCopyright]	Fill out your copyright notice in the Description page of Project Settings.
meta.PE Property[OriginalFilename]	CrashReportClient.exe
meta.PE Property[ProductName]	CrashReportClient
meta.PE Property[ProductVersion]	UE5-CL-0
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	CrashReportClient.exe
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	51506
instructions	4563749
defined_data	367506
datatypes	531760
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	697340
symbols_global	600785
symbols_sha256	7e79d3ddf804575d7aa56b5a2906d79a886b594519b26d693f0bd13f106efb19
symbols_source.ANALYSIS	78021
symbols_source.DEFAULT	428159
symbols_source.IMPORTED	191160
