program	FactoryGameSteam-AudioMixer-Win64-Shipping.dll
tag	UE5.6-Satisfactory
image_base	180000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	1100704
meta.# of Data Type Categories	53109
meta.# of Data Types	304412
meta.# of Defined Data	24315
meta.# of Functions	3918
meta.# of Instructions	154124
meta.# of Memory Blocks	8
meta.# of Symbols	71608
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sat Jul 25 21:01:07 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	3e5316692b6780ae0385c4ddbef214e9
meta.Executable SHA256	c2529e9da1c167805a9310c85aa1f5a8a1af5967c7ff821248d4721e0b39d4e8
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	180000000
meta.PDB Age	1
meta.PDB File	FactoryGameSteam-AudioMixer-Win64-Shipping.pdb
meta.PDB GUID	1386aa3e-bebe-3879-07a1-0f93af35ce73
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	FactoryGameSteam
meta.PE Property[FileVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[InternalName]	UnrealEngine
meta.PE Property[LegalCopyright]	Copyright Epic Games, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	FactoryGameSteam-AudioMixer-Win64-Shipping.dll
meta.PE Property[ProductName]	FactoryGameSteam
meta.PE Property[ProductVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	FactoryGameSteam-AudioMixer-Win64-Shipping.dll
meta.RTTI Found	false
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	3918
instructions	154124
defined_data	24315
datatypes	304412
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	31482
symbols_global	25310
symbols_sha256	3cfd09addda7c96af81ba9a2fdcfdcb36d31eee1fdc6f2f0e6a5fa8bf992d7c5
symbols_source.ANALYSIS	1648
symbols_source.DEFAULT	15618
symbols_source.IMPORTED	14216
