program	FactoryGameSteam-Engine-Win64-Shipping.dll
tag	UE5.6-Satisfactory
image_base	180000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	37181680
meta.# of Data Type Categories	181424
meta.# of Data Types	872628
meta.# of Defined Data	937383
meta.# of Functions	88112
meta.# of Instructions	5463777
meta.# of Memory Blocks	10
meta.# of Symbols	1156332
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sat Jul 25 20:47:40 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	90629b0fc4eb3a484d3e995beefb9aa8
meta.Executable SHA256	ee7935997117f96f1a7ec84190e5b56d065ae590afba9624cb6ad2bcb30c02b9
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	180000000
meta.PDB Age	1
meta.PDB File	FactoryGameSteam-Engine-Win64-Shipping.pdb
meta.PDB GUID	aea754cb-d6a2-1aa8-e1ec-f1682601b8b2
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	FactoryGameSteam
meta.PE Property[FileVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[InternalName]	UnrealEngine
meta.PE Property[LegalCopyright]	Copyright Epic Games, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	FactoryGameSteam-Engine-Win64-Shipping.dll
meta.PE Property[ProductName]	FactoryGameSteam
meta.PE Property[ProductVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	FactoryGameSteam-Engine-Win64-Shipping.dll
meta.RTTI Found	false
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	88112
instructions	5463777
defined_data	937383
datatypes	872628
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	1054618
symbols_global	859212
symbols_sha256	0616836befe9a6262a0b901f106793880f88887a39c20ea4c69bf39b7565a7e1
symbols_source.ANALYSIS	66098
symbols_source.DEFAULT	511796
symbols_source.IMPORTED	476724
