program	FactoryGameSteam-InputCore-Win64-Shipping.dll
tag	UE5.6-Satisfactory
image_base	180000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	477904
meta.# of Data Type Categories	11532
meta.# of Data Types	62115
meta.# of Defined Data	8213
meta.# of Functions	1215
meta.# of Instructions	51826
meta.# of Memory Blocks	8
meta.# of Symbols	17477
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sat Jul 25 21:00:39 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	ea53e2b15d20bbcb228e890a2e3e0bf8
meta.Executable SHA256	14b1608e2cb94d396879caf72996ed3102edff66ac97d978e2c73047e06bbed5
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	180000000
meta.PDB Age	1
meta.PDB File	FactoryGameSteam-InputCore-Win64-Shipping.pdb
meta.PDB GUID	972a96f7-cc3a-fafe-f7ea-0b42146b3221
meta.PDB Loaded	true
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	FactoryGameSteam
meta.PE Property[FileVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[InternalName]	UnrealEngine
meta.PE Property[LegalCopyright]	Copyright Epic Games, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	FactoryGameSteam-InputCore-Win64-Shipping.dll
meta.PE Property[ProductName]	FactoryGameSteam
meta.PE Property[ProductVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	FactoryGameSteam-InputCore-Win64-Shipping.dll
meta.RTTI Found	false
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	1215
instructions	51826
defined_data	8213
datatypes	62115
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	10815
symbols_global	8899
symbols_sha256	b36f97527b2db1ec2a969e0fb740f3ef0a6a1d242fbb8be9be6a9b3b0da0903b
symbols_source.ANALYSIS	1311
symbols_source.DEFAULT	4741
symbols_source.IMPORTED	4763
