program	FactoryGameSteam-InputDevice-Win64-Shipping.dll
tag	UE5.6-Satisfactory
image_base	180000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	76176
meta.# of Data Type Categories	4
meta.# of Data Types	58
meta.# of Defined Data	471
meta.# of Functions	60
meta.# of Instructions	0
meta.# of Memory Blocks	7
meta.# of Symbols	124
meta.Address Size	64
meta.Analyzed	false
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sat Jul 25 21:00:51 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	fd7c0b69d91fbfa54d2360e107c4b18d
meta.Executable SHA256	29335b655c257f4973e09ca4a9dbb58a7ae8e7bb1ccc8ff9e62eec45492b637a
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	1800161ff
meta.Minimum Address	180000000
meta.PDB Age	1
meta.PDB File	FactoryGameSteam-InputDevice-Win64-Shipping.pdb
meta.PDB GUID	0c465a99-e245-62d5-7d13-6641c2c366be
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	FactoryGameSteam
meta.PE Property[FileVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[InternalName]	UnrealEngine
meta.PE Property[LegalCopyright]	Copyright Epic Games, Inc. All Rights Reserved.
meta.PE Property[OriginalFilename]	FactoryGameSteam-InputDevice-Win64-Shipping.dll
meta.PE Property[ProductName]	FactoryGameSteam
meta.PE Property[ProductVersion]	++FactoryGame+rel-main-1.2.0-CL-495413
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	FactoryGameSteam-InputDevice-Win64-Shipping.dll
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	true
functions	60
instructions	0
defined_data	471
datatypes	58
has_pdb_applied	no
analysis_state	NOT-DISASSEMBLED
symbols	166
symbols_global	113
symbols_sha256	c5fe426dbfaf3baa6a2f818abe509ac101a14df27342119c8aef67b57cd4971c
symbols_source.DEFAULT	103
symbols_source.IMPORTED	63
