program	StackOBot-Win64-DebugGame.exe
tag	UE5.8-StackOBotDbgGame
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	348884484
meta.# of Data Type Categories	4
meta.# of Data Types	101
meta.# of Defined Data	4044128
meta.# of Functions	670270
meta.# of Instructions	0
meta.# of Memory Blocks	13
meta.# of Symbols	672079
meta.Address Size	64
meta.Analyzed	false
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Wed Jul 29 15:12:50 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	50d93a1a3861f1a5a23c4bdf82c8bee7
meta.Executable SHA256	c03ed29b78d922fab1f87cfdc01e6c65b5fcd24ff1ae39175cd23dd3d9fbb2ea
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	154cbf3ff
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	StackOBot-Win64-DebugGame.pdb
meta.PDB GUID	d4742d27-821f-4c73-b026-cfbd6edd5ae6
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	Epic Games, Inc.
meta.PE Property[FileDescription]	UnrealGame
meta.PE Property[FileVersion]	5.8.0
meta.PE Property[InternalName]	StackOBot
meta.PE Property[LegalCopyright]	Fill out your copyright notice in the Description page of Project Settings.
meta.PE Property[OriginalFilename]	StackOBot-Win64-DebugGame.exe
meta.PE Property[ProductName]	UnrealGame
meta.PE Property[ProductVersion]	5.8.0
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	StackOBot-Win64-DebugGame.exe
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	true
functions	670270
instructions	0
defined_data	4044128
datatypes	101
has_pdb_applied	yes
analysis_state	NOT-DISASSEMBLED
symbols	2152685
symbols_global	2151365
symbols_sha256	eea9f8ade908654a44f35ea3c73d9d5e3c27c4129a93b46d4c60a8789b67d179
symbols_source.DEFAULT	2150676
symbols_source.IMPORTED	2009
