program	DQIandIIHD2DRemake.exe
tag	UEx-DQ12HD2D
image_base	140000000
language	x86:LE:64:default
language_version	4
compiler_spec	windows
meta.# of Bytes	98615356
meta.# of Data Type Categories	67
meta.# of Data Types	2070
meta.# of Defined Data	2100514
meta.# of Functions	188074
meta.# of Instructions	14576676
meta.# of Memory Blocks	10
meta.# of Symbols	1202915
meta.Address Size	64
meta.Analyzed	true
meta.Compiler	visualstudio:unknown
meta.Compiler ID	windows
meta.Created With Ghidra Version	12.1.2
meta.Date Created	Sun Jul 26 10:33:32 GMT+08:00 2026
meta.Endian	Little
meta.Executable Format	Portable Executable (PE)
meta.Executable MD5	2522e08e12366937733a629d2f46c775
meta.Executable SHA256	4c0a3b982bb328320a55f9d06a6f672be7b2d896f3e84ed7ce9446a17213074f
meta.Language ID	x86:LE:64:default (4.7)
meta.Maximum Address	ff0000184f
meta.Minimum Address	140000000
meta.PDB Age	1
meta.PDB File	DQIandIIHD2DRemake.pdb
meta.PDB GUID	05946e2e-6507-4e09-a1a6-2c49580bcc55
meta.PDB Version	RSDS
meta.PE Property[CompanyName]	SQUARE ENIX CO., LTD.
meta.PE Property[FileDescription]	DRAGON QUEST I & II HD-2D Remake
meta.PE Property[FileVersion]	1.0.2
meta.PE Property[InternalName]	DRAGON QUEST I & II HD-2D Remake
meta.PE Property[LegalCopyright]	© ARMOR PROJECT/BIRD STUDIO/SPIKE CHUNSOFT/SQUARE ENIX　© SUGIYAMA KOBO　℗ SUGIYAMA KOBO
meta.PE Property[OriginalFilename]	DQIandIIHD2DRemake.exe
meta.PE Property[ProductName]	DRAGON QUEST I & II HD-2D Remake
meta.PE Property[ProductVersion]	1.0.2
meta.PE Property[Translation]	4b00409
meta.Preferred Root Namespace Category	
meta.Processor	x86
meta.Program Name	DQIandIIHD2DRemake.exe
meta.RTTI Found	true
meta.Relocatable	true
meta.SectionAlignment	4096
meta.Should Ask To Analyze	false
functions	188074
instructions	14576676
defined_data	2100514
datatypes	2070
has_pdb_applied	yes
analysis_state	DISASSEMBLED
symbols	1928459
symbols_global	1860980
symbols_sha256	a5d801415c4aaddd222a0430dcc2edcdffa0220f54b10c610f0d09388c52cadc
symbols_source.ANALYSIS	65741
symbols_source.DEFAULT	1857141
symbols_source.IMPORTED	5577
