# AOB specificity baseline — regenerate with:
#   py tools/pe/aob_specificity.py --tsv out/sweep/patterns.tsv \
#      --baseline tools/pe/aob-specificity-baseline.tsv --update-baseline
# A DIFF HERE IS THE POINT. It means a pattern's noise profile changed, or a
# new pattern landed without anyone looking at its specificity. Both deserve a
# human. Never regenerate to make CI green without reading the diff first —
# `bound` rising is a pattern getting noisier.
# NOTE: `verdict` CLEAR means "this window is ABSENT from the index", i.e.
# never observed — NOT "measured to be rare". See aob-block-library-eval.md §7.
id	target	bound	verdict
GENG_DI427_1	GEngine	32	UNPROVEN
GENG_ES55_1	GEngine	64	UNPROVEN
GENG_EXP	GEngine	-	NO-ANCHOR
GENG_SP57_1	GEngine	64	UNPROVEN
GENG_X1	GEngine	64	UNPROVEN
GENG_X2	GEngine	256	UNPROVEN
GENG_X3	GEngine	64	UNPROVEN
GENG_X4	GEngine	65536	UNPROVEN
GNAM_CT1	GNames	32	UNPROVEN
GNAM_CT3	GNames	2048	UNPROVEN
GNAM_CT4	GNames	8192	UNPROVEN
GNAM_DI427_1	GNames	2048	UNPROVEN
GNAM_DI427_2	GNames	15	CLEAR
GNAM_ES2_1	GNames	15	CLEAR
GNAM_ES53_1	GNames	15	CLEAR
GNAM_EXP_CTOR	GNames	-	NO-ANCHOR
GNAM_EXP_CTOR2	GNames	-	NO-ANCHOR
GNAM_EXP_TOSTR	GNames	-	NO-ANCHOR
GNAM_G42_1	GNames	65536	UNPROVEN
GNAM_GH_1	GNames	15	CLEAR
GNAM_GH_2	GNames	256	UNPROVEN
GNAM_IWB_1	GNames	15	CLEAR
GNAM_LLM54_1	GNames	1024	UNPROVEN
GNAM_PS1	GNames	64	UNPROVEN
GNAM_PS2	GNames	15	CLEAR
GNAM_SAT422_1	GNames	64	UNPROVEN
GNAM_SAT425_1	GNames	4096	UNPROVEN
GNAM_SAT425_2	GNames	15	CLEAR
GNAM_SAT425_3	GNames	-	NO-ANCHOR
GNAM_SAT52_1	GNames	-	NO-ANCHOR
GNAM_SF_1	GNames	-	NO-ANCHOR
GNAM_SF_2	GNames	15	CLEAR
GNAM_SF_3	GNames	-	NO-ANCHOR
GNAM_UD2	GNames	15	CLEAR
GNAM_V1	GNames	-	NO-ANCHOR
GNAM_V2	GNames	-	NO-ANCHOR
GNAM_V3	GNames	-	NO-ANCHOR
GNAM_V4	GNames	-	NO-ANCHOR
GNAM_V5	GNames	-	NO-ANCHOR
GNAM_V6	GNames	16384	UNPROVEN
GNAM_V7	GNames	32768	UNPROVEN
GNAM_V8	GNames	15	CLEAR
GNAM_XX_1	GNames	64	UNPROVEN
GOBJ_AV1	GObjects	128	UNPROVEN
GOBJ_AV2	GObjects	15	CLEAR
GOBJ_CT1	GObjects	512	UNPROVEN
GOBJ_CT3	GObjects	-	NO-ANCHOR
GOBJ_DI427_1	GObjects	-	NO-ANCHOR
GOBJ_DI427_2	GObjects	-	NO-ANCHOR
GOBJ_DI427_3	GObjects	256	UNPROVEN
GOBJ_ES2_1	GObjects	15	CLEAR
GOBJ_ES53_1	GObjects	2048	UNPROVEN
GOBJ_EXP	GObjects	-	NO-ANCHOR
GOBJ_G427_1	GObjects	1024	UNPROVEN
GOBJ_G427_2	GObjects	1024	UNPROVEN
GOBJ_G427_3	GObjects	1024	UNPROVEN
GOBJ_G427_4	GObjects	15	CLEAR
GOBJ_G42_1	GObjects	15	CLEAR
GOBJ_G42_2	GObjects	64	UNPROVEN
GOBJ_G42_3	GObjects	8192	UNPROVEN
GOBJ_G42_4	GObjects	64	UNPROVEN
GOBJ_GH_1	GObjects	15	CLEAR
GOBJ_GH_2	GObjects	256	UNPROVEN
GOBJ_GH_3	GObjects	512	UNPROVEN
GOBJ_GH_4	GObjects	15	CLEAR
GOBJ_OT_1	GObjects	512	UNPROVEN
GOBJ_OT_2	GObjects	-	NO-ANCHOR
GOBJ_PS1	GObjects	-	NO-ANCHOR
GOBJ_PS2	GObjects	-	NO-ANCHOR
GOBJ_PS3	GObjects	1024	UNPROVEN
GOBJ_PS4	GObjects	15	CLEAR
GOBJ_PS5	GObjects	15	CLEAR
GOBJ_PS6	GObjects	-	NO-ANCHOR
GOBJ_PS7	GObjects	-	NO-ANCHOR
GOBJ_RE1	GObjects	15	CLEAR
GOBJ_RE2	GObjects	15	CLEAR
GOBJ_RE3	GObjects	15	CLEAR
GOBJ_SAT422_1	GObjects	-	NO-ANCHOR
GOBJ_SAT425_1	GObjects	256	UNPROVEN
GOBJ_SAT425_2	GObjects	4096	UNPROVEN
GOBJ_SAT426_1	GObjects	65536	UNPROVEN
GOBJ_SAT426_2	GObjects	15	CLEAR
GOBJ_SAT52_1	GObjects	256	UNPROVEN
GOBJ_SAT52_2	GObjects	-	NO-ANCHOR
GOBJ_SF_1	GObjects	15	CLEAR
GOBJ_UD1	GObjects	32	UNPROVEN
GOBJ_V1	GObjects	8192	UNPROVEN
GOBJ_V10	GObjects	-	NO-ANCHOR
GOBJ_V11	GObjects	15	CLEAR
GOBJ_V12	GObjects	15	CLEAR
GOBJ_V13	GObjects	256	UNPROVEN
GOBJ_V2	GObjects	-	NO-ANCHOR
GOBJ_V3	GObjects	-	NO-ANCHOR
GOBJ_V4	GObjects	256	UNPROVEN
GOBJ_V5	GObjects	-	NO-ANCHOR
GOBJ_V6	GObjects	-	NO-ANCHOR
GOBJ_V7	GObjects	1024	UNPROVEN
GOBJ_V8	GObjects	256	UNPROVEN
GOBJ_V9	GObjects	512	UNPROVEN
GWLD_DI427_1	GWorld	15	CLEAR
GWLD_DI427_2	GWorld	512	UNPROVEN
GWLD_ES2_1	GWorld	15	CLEAR
GWLD_ES2_2	GWorld	15	CLEAR
GWLD_ES2_3	GWorld	15	CLEAR
GWLD_ES2_4	GWorld	32	UNPROVEN
GWLD_ES2_5	GWorld	15	CLEAR
GWLD_ES2_6	GWorld	15	CLEAR
GWLD_ES53_1	GWorld	32	UNPROVEN
GWLD_ES53_2	GWorld	16384	UNPROVEN
GWLD_EXP	GWorld	-	NO-ANCHOR
GWLD_FD_1	GWorld	-	NO-ANCHOR
GWLD_G427_1	GWorld	64	UNPROVEN
GWLD_G427_2	GWorld	16384	UNPROVEN
GWLD_G427_3	GWorld	15	CLEAR
GWLD_G427_4	GWorld	15	CLEAR
GWLD_G427_5	GWorld	-	NO-ANCHOR
GWLD_G42_1	GWorld	-	NO-ANCHOR
GWLD_G42_2	GWorld	65536	UNPROVEN
GWLD_G42_3	GWorld	128	UNPROVEN
GWLD_G42_4	GWorld	32768	UNPROVEN
GWLD_G42_5	GWorld	15	CLEAR
GWLD_GH_1	GWorld	15	CLEAR
