# proxy-export-baseline.tsv -- the real System32 export tables that each
# dll/src/Proxy*.def pins its @ordinals against.
#
# GENERATED by `py tools/check_proxy_exports.py --refresh`. Do not hand-edit: the
# whole point is that the ordinal map is re-derived from the OS rather than typed.
#
# Committed rather than read live in CI because these tables vary by Windows build
# (dxgi especially), and a runner whose System32 differs from the maintainer's must
# not redden an unrelated PR. `--verify-system` re-checks this file against the
# machine it runs on; `--refresh` rewrites it. A name here that a given Windows
# lacks is fine (we simply forward one export nobody calls); the reverse is not.
#
# *NONAME* marks an ordinal the real DLL exports WITHOUT a name. Those are deliberately
# not forwarded (we cannot name them), which leaves a NULL EAT slot -- so an ordinal
# import of one fails loudly with STATUS_ORDINAL_NOT_FOUND instead of misbinding.
#!measured-on Windows 10.0.26200
proxy	ordinal	name
ProxyDinput8	1	DirectInput8Create
ProxyDinput8	2	DllCanUnloadNow
ProxyDinput8	3	DllGetClassObject
ProxyDinput8	4	DllRegisterServer
ProxyDinput8	5	DllUnregisterServer
ProxyDinput8	6	GetdfDIJoystick
ProxyDxgi	1	ApplyCompatResolutionQuirking
ProxyDxgi	2	CompatString
ProxyDxgi	3	CompatValue
ProxyDxgi	4	DXGIDumpJournal
ProxyDxgi	5	PIXBeginCapture
ProxyDxgi	6	PIXEndCapture
ProxyDxgi	7	PIXGetCaptureState
ProxyDxgi	8	SetAppCompatStringPointer
ProxyDxgi	9	UpdateHMDEmulationStatus
ProxyDxgi	10	CreateDXGIFactory
ProxyDxgi	11	CreateDXGIFactory1
ProxyDxgi	12	CreateDXGIFactory2
ProxyDxgi	13	DXGID3D10CreateDevice
ProxyDxgi	14	DXGID3D10CreateLayeredDevice
ProxyDxgi	15	DXGID3D10GetLayeredDeviceSize
ProxyDxgi	16	DXGID3D10RegisterLayers
ProxyDxgi	17	DXGIDeclareAdapterRemovalSupport
ProxyDxgi	18	DXGIDisableVBlankVirtualization
ProxyDxgi	19	DXGIGetDebugInterface1
ProxyDxgi	20	DXGIReportAdapterConfiguration
ProxyVersion	1	GetFileVersionInfoA
ProxyVersion	2	GetFileVersionInfoByHandle
